,grade,term,home_ownership,emp_length,safe_loans
0,B, 36 months,RENT,8 years,1
1,C, 36 months,RENT,5 years,1
2,B, 36 months,MORTGAGE,3 years,-1
3,B, 36 months,RENT,< 1 year,1
4,E, 60 months,RENT,5 years,-1
5,C, 36 months,MORTGAGE,10+ years,-1
6,C, 36 months,RENT,10+ years,1
7,C, 36 months,MORTGAGE,2 years,-1
8,E, 60 months,MORTGAGE,10+ years,1
9,E, 36 months,OWN,6 years,-1
10,B, 36 months,RENT,5 years,1
11,B, 36 months,OWN,10+ years,-1
12,B, 36 months,MORTGAGE,10+ years,1
13,D, 36 months,RENT,8 years,1
14,A, 36 months,MORTGAGE,8 years,-1
15,A, 36 months,RENT,10+ years,-1
16,B, 60 months,MORTGAGE,10+ years,-1
17,D, 60 months,OWN,4 years,-1
18,B, 36 months,MORTGAGE,2 years,1
19,C, 36 months,MORTGAGE,3 years,1
20,G, 60 months,RENT,1 year,-1
21,D, 36 months,RENT,6 years,-1
22,A, 36 months,RENT,6 years,1
23,A, 36 months,MORTGAGE,< 1 year,1
24,C, 60 months,MORTGAGE,10+ years,-1
25,E, 60 months,RENT,2 years,1
26,B, 36 months,MORTGAGE,6 years,-1
27,D, 36 months,RENT,2 years,-1
28,C, 60 months,MORTGAGE,10+ years,1
29,A, 36 months,MORTGAGE,8 years,1
30,B, 36 months,RENT,10+ years,1
31,E, 60 months,RENT,3 years,-1
32,B, 36 months,MORTGAGE,9 years,-1
33,E, 36 months,MORTGAGE,3 years,-1
34,B, 36 months,MORTGAGE,8 years,1
35,C, 60 months,MORTGAGE,10+ years,1
36,E, 36 months,OWN,4 years,-1
37,B, 36 months,MORTGAGE,,1
38,A, 36 months,MORTGAGE,4 years,-1
39,B, 36 months,RENT,3 years,1
40,B, 36 months,MORTGAGE,8 years,-1
41,B, 36 months,MORTGAGE,10+ years,1
42,D, 60 months,OWN,< 1 year,-1
43,D, 36 months,MORTGAGE,2 years,-1
44,B, 36 months,OWN,4 years,1
45,B, 36 months,RENT,10+ years,-1
46,D, 36 months,RENT,5 years,1
47,E, 36 months,RENT,1 year,-1
48,C, 36 months,MORTGAGE,4 years,-1
49,B, 36 months,MORTGAGE,9 years,1
50,D, 36 months,RENT,10+ years,1
51,E, 60 months,MORTGAGE,10+ years,1
52,B, 36 months,RENT,2 years,-1
53,C, 36 months,MORTGAGE,7 years,-1
54,B, 36 months,RENT,8 years,-1
55,B, 36 months,MORTGAGE,4 years,1
56,D, 60 months,MORTGAGE,10+ years,1
57,B, 36 months,RENT,10+ years,1
58,C, 36 months,MORTGAGE,10+ years,-1
59,B, 36 months,RENT,2 years,-1
60,F, 60 months,RENT,10+ years,-1
61,B, 36 months,RENT,1 year,1
62,A, 36 months,MORTGAGE,5 years,-1
63,C, 36 months,RENT,10+ years,-1
64,B, 36 months,MORTGAGE,10+ years,1
65,G, 60 months,OWN,10+ years,-1
66,F, 60 months,RENT,10+ years,1
67,C, 36 months,RENT,1 year,-1
68,B, 36 months,RENT,4 years,1
69,B, 60 months,OWN,9 years,-1
70,A, 36 months,MORTGAGE,2 years,-1
71,C, 60 months,MORTGAGE,8 years,-1
72,A, 36 months,MORTGAGE,3 years,1
73,B, 60 months,MORTGAGE,< 1 year,-1
74,E, 36 months,RENT,5 years,1
75,E, 60 months,MORTGAGE,10+ years,-1
76,B, 36 months,MORTGAGE,10+ years,1
77,D, 36 months,MORTGAGE,5 years,1
78,D, 36 months,RENT,4 years,1
79,A, 36 months,RENT,7 years,1
80,C, 36 months,RENT,4 years,-1
81,B, 36 months,MORTGAGE,6 years,-1
82,E, 60 months,MORTGAGE,5 years,-1
83,B, 36 months,MORTGAGE,7 years,-1
84,C, 36 months,RENT,1 year,-1
85,B, 36 months,RENT,7 years,1
86,B, 36 months,RENT,6 years,1
87,B, 60 months,MORTGAGE,10+ years,1
88,C, 36 months,RENT,10+ years,-1
89,A, 36 months,MORTGAGE,10+ years,1
90,D, 60 months,RENT,< 1 year,-1
91,B, 36 months,OWN,10+ years,-1
92,B, 36 months,MORTGAGE,10+ years,-1
93,C, 36 months,OWN,1 year,-1
94,C, 60 months,MORTGAGE,10+ years,1
95,C, 60 months,MORTGAGE,2 years,1
96,C, 36 months,MORTGAGE,1 year,1
97,D, 36 months,RENT,5 years,1
98,C, 36 months,RENT,2 years,1
99,D, 36 months,MORTGAGE,5 years,-1
100,B, 36 months,RENT,3 years,1
101,C, 36 months,MORTGAGE,10+ years,1
102,A, 36 months,MORTGAGE,6 years,1
103,F, 36 months,OWN,8 years,-1
104,B, 36 months,MORTGAGE,8 years,1
105,A, 36 months,MORTGAGE,< 1 year,1
106,D, 36 months,MORTGAGE,6 years,-1
107,C, 36 months,RENT,3 years,1
108,D, 36 months,RENT,6 years,1
109,D, 36 months,RENT,< 1 year,-1
110,C, 36 months,MORTGAGE,,-1
111,C, 36 months,RENT,10+ years,-1
112,C, 36 months,MORTGAGE,10+ years,1
113,B, 36 months,RENT,4 years,1
114,B, 36 months,RENT,7 years,-1
115,B, 36 months,RENT,10+ years,1
116,G, 60 months,OWN,5 years,-1
117,E, 60 months,MORTGAGE,6 years,-1
118,G, 60 months,MORTGAGE,9 years,1
119,C, 36 months,MORTGAGE,4 years,-1
120,C, 36 months,OWN,< 1 year,1
121,B, 36 months,MORTGAGE,10+ years,1
122,C, 36 months,MORTGAGE,2 years,1
123,C, 36 months,MORTGAGE,2 years,-1
124,C, 36 months,MORTGAGE,9 years,1
125,A, 36 months,MORTGAGE,2 years,1
126,B, 36 months,MORTGAGE,10+ years,1
127,B, 60 months,MORTGAGE,3 years,1
128,E, 60 months,OWN,3 years,1
129,E, 36 months,RENT,,1
130,A, 36 months,RENT,5 years,1
131,B, 36 months,RENT,4 years,-1
132,B, 36 months,RENT,10+ years,-1
133,D, 36 months,RENT,< 1 year,1
134,C, 36 months,RENT,10+ years,-1
135,C, 36 months,RENT,8 years,1
136,D, 60 months,RENT,10+ years,1
137,A, 36 months,RENT,,-1
138,A, 36 months,MORTGAGE,3 years,1
139,D, 36 months,MORTGAGE,3 years,1
140,D, 60 months,MORTGAGE,10+ years,1
141,C, 36 months,MORTGAGE,10+ years,-1
142,C, 36 months,RENT,< 1 year,1
143,F, 60 months,MORTGAGE,10+ years,1
144,C, 60 months,RENT,< 1 year,-1
145,B, 36 months,RENT,10+ years,1
146,E, 36 months,RENT,10+ years,-1
147,A, 36 months,MORTGAGE,< 1 year,1
148,D, 36 months,RENT,1 year,-1
149,C, 60 months,RENT,< 1 year,-1
150,C, 36 months,RENT,10+ years,1
151,C, 36 months,MORTGAGE,4 years,1
152,D, 36 months,RENT,1 year,1
153,D, 36 months,RENT,< 1 year,-1
154,C, 36 months,RENT,5 years,1
155,F, 36 months,RENT,,-1
156,C, 36 months,MORTGAGE,5 years,-1
